,Image,Accuracy,F1,Jaccard,Recall,Precision
0,100051_1-026,1.0,1.0,1.0,1.0,1.0
1,100051_1-030,1.0,1.0,1.0,1.0,1.0
2,100051_1-044,1.0,1.0,1.0,1.0,1.0
3,100051_1-045,1.0,1.0,1.0,1.0,1.0
4,100051_1-049,1.0,1.0,1.0,1.0,1.0
5,100051_1-050,1.0,1.0,1.0,1.0,1.0
6,100051_1-052,0.9983901977539062,0.0,0.0,1.0,0.0
7,100051_1-057,0.9904441833496094,0.8984061321328628,0.8155511376187321,0.8282359979062289,0.9815668202764977
8,100051_1-068,0.9959716796875,0.967467652495379,0.9369853204439671,0.9677657935285054,0.9671696951031722
9,100051_1-070,0.9944839477539062,0.9535108024691358,0.9111520737327189,0.9330522871704524,0.9748865952271383
10,100051_1-071,0.9956512451171875,0.9656378104653967,0.9335586898239888,0.9626780455556223,0.9686158311664752
11,100051_1-074,0.9957313537597656,0.9695053822046601,0.9408155709525573,0.9480360283536747,0.9919696631719831
12,100051_1-077,0.9955215454101562,0.9693600584612173,0.9405419093441377,0.9582064908931428,0.9807763401109058
13,100051_1-094,0.9896697998046875,0.9516065620644054,0.9076807690996489,0.922397367053525,0.9827261654301849
14,100051_1-097,0.9890518188476562,0.9505240656461178,0.9057130654752127,0.9299713273739247,0.9720057821810105
15,100051_1-101,0.9864120483398438,0.9300388891071217,0.8692268154783758,0.8919193821812017,0.9715622307029422
16,100051_1-110,0.9813957214355469,0.7823448029633596,0.6425010995455211,0.690538091861656,0.9023059501750051
17,100051_1-112,0.9986419677734375,0.0,0.0,1.0,0.0
18,100051_1-125,1.0,1.0,1.0,1.0,1.0
19,100053_1-004,1.0,1.0,1.0,1.0,1.0
20,100053_1-011,1.0,1.0,1.0,1.0,1.0
21,100053_1-019,1.0,1.0,1.0,1.0,1.0
22,100053_1-033,0.9794235229492188,0.9106657833719775,0.8359838233952626,0.9915605727269449,0.8419747037025694
23,100053_1-038,0.9887351989746094,0.9555786211772492,0.914935906668587,0.9629225405487343,0.9483458736414666
24,100053_1-040,0.9925079345703125,0.9704714938657686,0.9426368362638005,0.9834536977785904,0.9578275708562102
25,100053_1-043,0.9923210144042969,0.9684823623354054,0.9388907440575575,0.9912502804397295,0.9467368678829435
26,100053_1-045,0.9899559020996094,0.9576217991018977,0.9186893953430918,0.9259236204052413,0.9915672288514099
27,100053_1-048,0.9904441833496094,0.9538376485764305,0.9117491632904703,0.9923693393151578,0.9181863336408146
28,100053_1-049,0.9902000427246094,0.9519857957200263,0.9083710810714413,0.9507596968678836,0.9532150610075605
29,100053_1-058,0.9933815002441406,0.9529924950554065,0.9102059828175137,0.910818789165674,0.9992613636363636
30,100053_1-064,0.9954299926757812,0.9564806742226097,0.916591241384112,0.9349478020026987,0.9790287796534543
31,100053_1-066,0.9920921325683594,0.9200878917543658,0.8520025701434997,0.8603561387066542,0.9887323943661972
32,100053_1-069,0.9850540161132812,0.837750538346861,0.7208009691441601,0.7208009691441601,1.0
33,100053_1-078,1.0,1.0,1.0,1.0,1.0
34,100053_1-080,1.0,1.0,1.0,1.0,1.0
35,100053_1-081,1.0,1.0,1.0,1.0,1.0
36,100053_1-082,1.0,1.0,1.0,1.0,1.0
37,100053_1-088,1.0,1.0,1.0,1.0,1.0
38,100053_1-099,1.0,1.0,1.0,1.0,1.0
39,100053_1-101,1.0,1.0,1.0,1.0,1.0
40,100053_1-103,1.0,1.0,1.0,1.0,1.0
41,100053_1-107,1.0,1.0,1.0,1.0,1.0
42,100053_1-109,1.0,1.0,1.0,1.0,1.0
43,100053_1-110,1.0,1.0,1.0,1.0,1.0
44,100056_1-004,1.0,1.0,1.0,1.0,1.0
45,100056_1-005,1.0,1.0,1.0,1.0,1.0
46,100056_1-009,1.0,1.0,1.0,1.0,1.0
47,100056_1-010,1.0,1.0,1.0,1.0,1.0
48,100056_1-012,1.0,1.0,1.0,1.0,1.0
49,100056_1-017,1.0,1.0,1.0,1.0,1.0
50,100056_1-019,1.0,1.0,1.0,1.0,1.0
51,100056_1-037,1.0,1.0,1.0,1.0,1.0
52,100056_1-040,1.0,1.0,1.0,1.0,1.0
53,100056_1-047,0.9951286315917969,0.9516855207899815,0.9078244550310379,0.9404770806849623,0.9631643436973503
54,100056_1-049,0.9954338073730469,0.9614007932669052,0.9256706408345753,0.9303501217000562,0.9945956765412329
55,100056_1-054,0.98974609375,0.9299598728438168,0.8690887839088297,0.8793672695017987,0.9867293337019629
56,100056_1-056,0.9966888427734375,0.9776449984547233,0.9562676340185409,0.9951239972736329,0.9607694254619084
57,100056_1-073,0.9901885986328125,0.957088991958357,0.9177091665333547,0.9878767005338385,0.9281623143384138
58,100056_1-076,0.9903831481933594,0.9590992423382061,0.9214127622432121,0.9354093483971012,0.9840202410280312
59,100056_1-079,0.9940261840820312,0.9746478873239436,0.9505494505494505,0.9783223374175306,0.971000935453695
60,100056_1-080,0.993560791015625,0.9725412369457006,0.9465501409075077,0.9516123897749339,0.9944113635607598
61,100056_1-082,0.9831161499023438,0.926970926970927,0.8638823963587157,0.8934762556060943,0.963074707717626
62,100056_1-090,0.9754638671875,0.7360905957656326,0.5823918971562135,0.5825053574907462,0.9996656636576395
63,100056_1-108,1.0,1.0,1.0,1.0,1.0
64,100056_1-111,1.0,1.0,1.0,1.0,1.0
65,100056_1-112,1.0,1.0,1.0,1.0,1.0
66,100056_1-119,1.0,1.0,1.0,1.0,1.0
67,100056_1-125,1.0,1.0,1.0,1.0,1.0
68,100056_1-126,1.0,1.0,1.0,1.0,1.0
69,100058_1-013,1.0,1.0,1.0,1.0,1.0
70,100058_1-028,1.0,1.0,1.0,1.0,1.0
71,100058_1-033,1.0,1.0,1.0,1.0,1.0
72,100058_1-034,1.0,1.0,1.0,1.0,1.0
73,100058_1-036,1.0,1.0,1.0,1.0,1.0
74,100058_1-040,1.0,1.0,1.0,1.0,1.0
75,100058_1-046,1.0,1.0,1.0,1.0,1.0
76,100058_1-048,0.9639625549316406,0.0,0.0,0.0,1.0
77,100058_1-056,0.9892768859863281,0.8910760646336265,0.8035502131525614,0.8036625428112113,0.9998260869565218
78,100058_1-058,0.9914321899414062,0.9148339147580767,0.843035851561954,0.9121361058601134,0.9175477295200426
79,100058_1-059,0.9931640625,0.9391387039804374,0.8852605967473428,0.8862252419716685,0.9987719424980135
80,100058_1-061,0.9945526123046875,0.9495442018231927,0.9039354187689203,0.954671403197158,0.9444717790117383
81,100058_1-064,0.9948272705078125,0.9561845676618845,0.9160475482912332,0.9484007435420806,0.9640972176972699
82,100058_1-066,0.9923553466796875,0.9342562823961682,0.876623776395986,0.9005755486686484,0.9705541544543658
83,100058_1-069,0.9932403564453125,0.952009533095006,0.9084143063882572,0.909401355616495,0.9988066147638802
84,100058_1-071,0.9896163940429688,0.936193155180497,0.8800405447093561,0.8803509235991712,0.9995995394703909
85,100058_1-076,0.9865608215332031,0.9286249721428717,0.8667599561287395,0.8766400183605554,0.9871640248104755
86,100058_1-083,0.9892997741699219,0.9525741820948516,0.9094430992736078,0.9183972875167085,0.9893930879460523
87,100058_1-087,0.9832839965820312,0.932501540357363,0.8735390032033707,0.8756617583244135,0.9972325635027839
88,100058_1-089,0.9914360046386719,0.962608883929315,0.9279131747102077,0.9781674169854111,0.9475375434454718
89,100058_1-090,0.984375,0.9330740825463221,0.8745443964593096,0.9013226427601881,0.9671442604071402
90,100058_1-097,0.9869308471679688,0.9313426853707415,0.8715073322581856,0.966798418972332,0.8983955151749469
91,100058_1-104,1.0,1.0,1.0,1.0,1.0
92,100058_1-105,1.0,1.0,1.0,1.0,1.0
93,100058_1-106,1.0,1.0,1.0,1.0,1.0
94,100058_1-108,1.0,1.0,1.0,1.0,1.0
95,100058_1-111,1.0,1.0,1.0,1.0,1.0
96,100058_1-112,1.0,1.0,1.0,1.0,1.0
97,100058_1-121,1.0,1.0,1.0,1.0,1.0
98,100058_1-124,1.0,1.0,1.0,1.0,1.0
99,100058_1-133,1.0,1.0,1.0,1.0,1.0
100,100058_1-134,1.0,1.0,1.0,1.0,1.0
101,100058_1-135,1.0,1.0,1.0,1.0,1.0
102,100058_1-144,1.0,1.0,1.0,1.0,1.0
103,100058_1-147,0.9996070861816406,0.0,0.0,1.0,0.0
104,100058_1-148,0.9981803894042969,0.0,0.0,1.0,0.0
105,100065_1-005,1.0,1.0,1.0,1.0,1.0
106,100065_1-006,1.0,1.0,1.0,1.0,1.0
107,100065_1-008,1.0,1.0,1.0,1.0,1.0
108,100065_1-010,1.0,1.0,1.0,1.0,1.0
109,100065_1-022,1.0,1.0,1.0,1.0,1.0
110,100065_1-032,1.0,1.0,1.0,1.0,1.0
111,100065_1-046,0.9954566955566406,0.9601258830225315,0.9233097231165486,0.926112510495382,0.99673293479772
112,100065_1-050,0.9946136474609375,0.954419265285041,0.9128125964803951,0.9986489225157062,0.9139412673879443
113,100065_1-059,0.9953460693359375,0.9729225852272727,0.9472728844325352,0.9935179728933412,0.953163731245923
114,100065_1-060,0.9932785034179688,0.9620977456547926,0.9269637305699482,1.0,0.9269637305699482
115,100065_1-074,0.9922599792480469,0.9704705214594462,0.9426350014136273,0.9475913031121217,0.9944818946489292
116,100065_1-077,0.9930267333984375,0.971841399919899,0.9452251820333802,0.9722607489597781,0.9714224124657408
117,100065_1-080,0.9884452819824219,0.952573316423192,0.9094415211671849,0.9094687116931265,0.9999671268902038
118,100065_1-083,0.9903335571289062,0.958068572941488,0.9195121176507957,0.964420161908252,0.9518000986355417
119,100065_1-088,0.9857292175292969,0.8878899577452126,0.7983831851253032,0.8204929382442536,0.9673501371294241
120,100065_1-089,0.9867134094238281,0.8899838908367289,0.8017756530647089,0.8089577950043066,0.9890480202190396
121,100065_1-091,0.9794349670410156,0.7510275712372418,0.6013163733175566,0.6052102716784518,0.9894134825991725
122,100065_1-095,1.0,1.0,1.0,1.0,1.0
123,100065_1-096,1.0,1.0,1.0,1.0,1.0
124,100065_1-098,1.0,1.0,1.0,1.0,1.0
125,100065_1-099,1.0,1.0,1.0,1.0,1.0
126,100065_1-110,1.0,1.0,1.0,1.0,1.0
127,100065_1-115,1.0,1.0,1.0,1.0,1.0
128,100067_1-003,1.0,1.0,1.0,1.0,1.0
129,100067_1-006,1.0,1.0,1.0,1.0,1.0
130,100067_1-007,1.0,1.0,1.0,1.0,1.0
131,100067_1-010,1.0,1.0,1.0,1.0,1.0
132,100067_1-013,1.0,1.0,1.0,1.0,1.0
133,100067_1-024,1.0,1.0,1.0,1.0,1.0
134,100067_1-026,1.0,1.0,1.0,1.0,1.0
135,100067_1-034,1.0,1.0,1.0,1.0,1.0
136,100067_1-049,0.9911155700683594,0.9375552993538354,0.8824509160652098,0.9070817120622569,0.9701475973809788
137,100067_1-051,0.9860496520996094,0.9175181000067664,0.8476059507438429,0.8479593112936173,0.9995085995085995
138,100067_1-061,0.9816017150878906,0.9101778564112114,0.8351618305478656,0.8741191200143087,0.9493395493395493
139,100067_1-063,0.8942298889160156,0.0,0.0,1.0,0.0
140,100067_1-083,0.9997940063476562,0.0,0.0,1.0,0.0
141,100067_1-085,1.0,1.0,1.0,1.0,1.0
142,100067_1-092,0.9988632202148438,0.0,0.0,1.0,0.0
143,100067_1-097,1.0,1.0,1.0,1.0,1.0
144,100067_1-104,1.0,1.0,1.0,1.0,1.0
145,100067_1-111,1.0,1.0,1.0,1.0,1.0
146,100067_1-115,1.0,1.0,1.0,1.0,1.0
147,100067_1-117,1.0,1.0,1.0,1.0,1.0
148,100067_1-120,1.0,1.0,1.0,1.0,1.0
149,100067_1-121,1.0,1.0,1.0,1.0,1.0
150,100067_1-123,1.0,1.0,1.0,1.0,1.0
151,100069_1-001,1.0,1.0,1.0,1.0,1.0
152,100069_1-005,1.0,1.0,1.0,1.0,1.0
153,100069_1-006,1.0,1.0,1.0,1.0,1.0
154,100069_1-017,1.0,1.0,1.0,1.0,1.0
155,100069_1-021,1.0,1.0,1.0,1.0,1.0
156,100069_1-026,1.0,1.0,1.0,1.0,1.0
157,100069_1-028,1.0,1.0,1.0,1.0,1.0
158,100069_1-036,1.0,1.0,1.0,1.0,1.0
159,100069_1-038,1.0,1.0,1.0,1.0,1.0
160,100069_1-040,1.0,1.0,1.0,1.0,1.0
161,100069_1-048,0.9917335510253906,0.9180873180873181,0.8485780169100692,0.8488152652547704,0.9996707276918011
162,100069_1-053,0.9931068420410156,0.9411496498941541,0.8888410433070866,0.9128182449933666,0.9712960473245497
163,100069_1-055,0.9945259094238281,0.9542045635870432,0.9124198962465669,0.9868638193940195,0.9236377116026195
164,100069_1-058,0.9946479797363281,0.9601544971741784,0.9233626481673677,0.9852538322550562,0.9363022044976183
165,100069_1-059,0.9923095703125,0.9460904909616001,0.897696133157414,0.9400074392900791,0.9522527857027507
166,100069_1-060,0.9947166442871094,0.9630755285398171,0.9287807888106134,0.9965241379310344,0.9317994222038795
167,100069_1-075,0.9931602478027344,0.9712194417245862,0.9440491793047494,0.9622761538216864,0.9803305249513934
168,100069_1-080,0.9932403564453125,0.9741976818684838,0.9496933908698615,0.9566187194372158,0.9924348058266829
169,100069_1-081,0.9818267822265625,0.9337689420269707,0.8757660312410358,0.8766347333524759,0.9988697540227833
170,100069_1-085,0.9944190979003906,0.9794928582442073,0.9598099005549146,0.9715803231278329,0.9875353306953081
171,100069_1-086,0.991973876953125,0.9703912186884324,0.9424853753211963,0.9669892020754453,0.9738172574495128
172,100069_1-088,0.9841690063476562,0.937721351821838,0.8827451755996949,0.9782697185083132,0.9004005879131963
173,100069_1-092,0.9905014038085938,0.9641582220175035,0.9307968094271977,0.9534261394369004,0.9751346629785995
174,100069_1-098,0.9924736022949219,0.9668319744473397,0.9357935500667123,0.9775299996600605,0.9563655713715578
175,100069_1-100,0.9871635437011719,0.9338600939520804,0.8759264038936617,0.9579804822969594,0.9109244986387515
176,100069_1-121,1.0,1.0,1.0,1.0,1.0
177,100069_1-126,1.0,1.0,1.0,1.0,1.0
178,100072_1-06,1.0,1.0,1.0,1.0,1.0
179,100072_1-07,1.0,1.0,1.0,1.0,1.0
180,100072_1-14,1.0,1.0,1.0,1.0,1.0
181,100072_1-17,1.0,1.0,1.0,1.0,1.0
182,100072_1-18,1.0,1.0,1.0,1.0,1.0
183,100072_1-19,1.0,1.0,1.0,1.0,1.0
184,100072_1-29,1.0,1.0,1.0,1.0,1.0
185,100072_1-42,0.9948921203613281,0.9655615853501711,0.933416210840378,0.9492288242730721,0.9824662409714225
186,100072_1-50,0.9988517761230469,0.0,0.0,1.0,0.0
187,100072_1-53,1.0,1.0,1.0,1.0,1.0
188,100072_1-55,1.0,1.0,1.0,1.0,1.0
189,100072_1-56,1.0,1.0,1.0,1.0,1.0
190,100072_1-63,1.0,1.0,1.0,1.0,1.0
191,100073_1-004,1.0,1.0,1.0,1.0,1.0
192,100073_1-007,1.0,1.0,1.0,1.0,1.0
193,100073_1-012,1.0,1.0,1.0,1.0,1.0
194,100073_1-013,1.0,1.0,1.0,1.0,1.0
195,100073_1-015,1.0,1.0,1.0,1.0,1.0
196,100073_1-025,1.0,1.0,1.0,1.0,1.0
197,100073_1-028,1.0,1.0,1.0,1.0,1.0
198,100073_1-032,1.0,1.0,1.0,1.0,1.0
199,100073_1-037,1.0,1.0,1.0,1.0,1.0
200,100073_1-039,1.0,1.0,1.0,1.0,1.0
201,100073_1-043,0.9814567565917969,0.7424908618954283,0.5904456988794338,0.5920419025090817,0.9954545454545455
202,100073_1-048,0.9928550720214844,0.9285141788481356,0.8665669302557526,0.9834263077047457,0.8794100636205899
203,100073_1-050,0.9958534240722656,0.9612436267693515,0.9253792819386284,0.987328792206841,0.9365013199944421
204,100073_1-055,0.9954109191894531,0.9630448806561607,0.9287237824386776,0.978892150128021,0.9477025392986699
205,100073_1-061,0.9872055053710938,0.9073736536868269,0.8304519259933273,0.849299488186941,0.973972846386435
206,100073_1-062,0.9921875,0.9347604485219164,0.877511961722488,0.9978915867510032,0.879141949787285
207,100073_1-069,0.9907684326171875,0.9471176959048994,0.899547548877174,0.9501074137401903,0.9441467346316386
208,100073_1-070,0.9868125915527344,0.9260075768926178,0.8622105305113795,0.9324137931034483,0.9196887887419752
209,100073_1-071,0.9828224182128906,0.9051780412306009,0.8267810432374212,0.915179902065148,0.8953924345942343
210,100073_1-075,0.9723281860351562,0.8726698262243286,0.774103139013453,0.8339092220470328,0.9152093074629064
211,100073_1-082,0.9854354858398438,0.9267881112176414,0.8635648942252716,0.9680727476665465,0.8888807150476331
212,100073_1-085,0.9868316650390625,0.9297030912719423,0.8686403592221926,0.9788173748981605,0.8852821407795229
213,100073_1-089,0.9907455444335938,0.9467445229837117,0.8988745310546061,0.9744678928103394,0.920554962646745
214,100073_1-092,0.9897346496582031,0.9384956460128449,0.8841185083110843,0.9886358164395435,0.89319585834856
215,100073_1-094,0.9890060424804688,0.9156619454524173,0.8444432449937929,0.8979509843310567,0.9340856170517643
216,100073_1-097,0.9774246215820312,0.7536219816819317,0.6046496091923308,0.6067573908962928,0.9942875974953312
217,100073_1-098,0.9686012268066406,0.5959452162387708,0.4244458429480456,0.4244458429480456,1.0
218,100073_1-103,1.0,1.0,1.0,1.0,1.0
219,100073_1-104,1.0,1.0,1.0,1.0,1.0
220,100073_1-105,1.0,1.0,1.0,1.0,1.0
221,100073_1-112,1.0,1.0,1.0,1.0,1.0
222,100073_1-113,1.0,1.0,1.0,1.0,1.0
223,100073_1-114,1.0,1.0,1.0,1.0,1.0
224,100073_1-116,1.0,1.0,1.0,1.0,1.0
225,100073_1-119,1.0,1.0,1.0,1.0,1.0
226,100073_1-127,1.0,1.0,1.0,1.0,1.0
227,100073_1-128,1.0,1.0,1.0,1.0,1.0
